순번,등록번호,제호,기관명,상태,종별,간별,성격,유형,발행목적,발행내용,보급방법,보급지역,선택지역,상세지역,유무가,보급대상,사용언어,발행소명,발행소 주소,인쇄소명,복수여부,등록일자,제출일자
24561,아55456,테크브루뉴스,서울,등록,인터넷신문,인터넷신문,총류,법인,빠르고 정확하며 유용한 국내외 IT기술 및 정책 등의 정보를 독자들에게 제공,국내외 IT기술 및 정책 등의 정보를 독자들에게 제공,,전국,,,무가,네티즌,,글로벌소프트웨어캠퍼스 주식회사,"서울 강남구 도곡로 111, 10층 (역삼동, 미진빌딩)",,단건,2024-05-29,2024-05-29
24560,아55458,패션티비,서울,등록,인터넷신문,인터넷신문,총류,법인,"국내외 패션, 뷰티, 라이프스타일 등 관련정보를 제공하고 관련산업의 이슈와 인사이트를 공유","국내외 패션, 뷰티, 라이프스타일 등 관련정보를 게재함",,전국,,,무가,네티즌,,패션티비코리아 주식회사,"서울 강남구 테헤란로 151, 5층 516-1호 (역삼동, 역삼하이츠빌딩)",,단건,2024-05-29,2024-05-29
24559,아55454,프라임 화랑대뉴스,서울,등록,인터넷신문,인터넷신문,총류,개인,"각종 경제, 문화, 시사, 정책 등의 정보를 제공하고 홍보하고자 함",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,인터넷사용자(네티즌),,최성민(에반더 화랑대뉴스),"서울 노원구 공릉로34길 86, 상가동 206호(공릉동, 태릉해링턴플레이스)",,단건,2024-05-29,2024-05-29
24558,아55451,하우징타임즈,서울,등록,인터넷신문,인터넷신문,총류,법인,"재건축, 재개발, 리모델링, 도시정비사업 등 부동산 관련 뉴스를 전문적으로 다루어, 부동산 정보에 대한 무분별한 정보, 정보 비대칭 문제를 해결하고 부동산 분야의 발전적인 대안을 제시하고자 함","·주요 분야 : 부동산, 재개발, 재건축, 리모델링 ·제본 여부 : 해당사항 없음 ·발행 면 : 제한 없음(인터넷 도메인을 통한 기사 발행/ 페이지 당 1 기사)",,전국,,,무가,불특정 다수,,하우징타임즈 주식회사,"서울 금천구 가산디지털2로 43-14, 903호 (가산동)",,단건,2024-05-29,2024-05-29
24557,라00624,Queen 이코노미퀸,종로,등록,기타간행물,월간,총류,법인,"여성, 경제, 사회 등 종합 생활정보를 전자책(e-book)으로 제공하여 여성의 경제 사회적 역할 및 발전에 기여함",위의 목적에 부합하는 내용만을 게재함,,지역,,,유가,,,(주)매거진플러스,"서울특별시 종로구 자하문로17길 12-10 (옥인동, 보광빌딩)",(주)프린피아,단건,2024-05-28,2024-05-23
24556,라00625,TV가이드,종로,등록,기타간행물,월간,총류,법인,"TV, OTT, 위성방송 등의 프로를 전자책(e-book)으로 제공하여 국가 사회 이익 및 공공복지 증진에 기여하며, TV문화의 진정한 이해와 발전을 도모함",상기 발행목적에 부합되는 내용만을 게재함,,지역,,,유가,,,(주)매거진플러스,"서울특별시 종로구 자하문로17길 12-10 (옥인동, 보광빌딩)",(주)프린피아,단건,2024-05-28,2024-05-23
24555,라00003,삶의 온기,영덕,등록,잡지,월간,문화일반,단체,정보 제공,"지역 정보 및 로컬문화, 유적지 소개, 수필 등 기재",,지역,,,무가,,,조이풀빌리지,경북 영덕군 남정면 도천리 97-1,신도인쇄소,단건,2024-05-28,2024-06-04
24554,라00626,오가닉라이프(Organic Life),종로,등록,기타간행물,월간,총류,법인,"생명존중 미디어를 지향하는 본지는 질높은 식생활, 친환경 정보를 전자책(e-book)으로 제공하여 국민의 건강 도모 및 발전에 기여함",상기 발행목적에 부합되는 내용만을 게재함,,지역,,,유가,,,(주)매거진플러스,"서울특별시 종로구 자하문로17길 12-10 (옥인동, 보광빌딩)",(주)프린피아,단건,2024-05-28,2024-05-23
24553,다01325,전북오늘신문,전북,등록,일반주간신문,주간,총류,법인,"전북특별자치 지역을 중심으로 지역의 정치, 경제, 사회, 문화등 전반에 걸쳐 정보를 신속하게 전달함으로써 알 권리를 보장해주기 위함",발행 목적에 부합되는 내용을 12면이상 16면 이내로 게재 등,,지역,,,유가,일반시민,,전북오늘신문 주식회사,"전북특별자치도 전주시 완산구 현무3길 47 (경원동3가),  2층",디엠 코리아(주),단건,2024-05-28,2024-05-22
24552,아54079,대한민국경제신문,경기,등록,인터넷신문,인터넷신문,총류,개인,1. 경제분야의 다양한 정보 및 지식 제공을 통해 바른 언론으로서의 가치를 추구 2. 경제 경영 업계전반의 소식전달과 다양한 분석을 통해 독자의 알권리를 실현하기 위함 3. 우리 지역의 다양한 분야의 소식 전달을 통해 지역사회 발전에 기여,"1. 상기 발행 목적에 해당하는 다양한 뉴스와 정보 2. 경제업계 관련한 모든 정보와 뉴스 3. 경제와 연관된 정치, 교육, 사회, 문화 등 해당분야에 관련한 소식",,전국,,,무가,인터넷 사용자,,조정인(대한민국 교육신문),"경기 구리시 건원대로 36, 902-1-9 (인창동, 화성골드프라자)",,단건,2024-05-27,2024-05-20
24551,아54080,밸런스뷰필라테스,경기,등록,인터넷신문,인터넷신문,총류,개인,필라테스 종사자들의 알 권리 진작 및 마케팅에 필요한 유용한 뉴스 콘텐츠 및 교육콘텐츠를 제공하고 관련 산업 전반에 대한 이슈를 점검하고 대안 제시와 함께 동반 성장하는 인프라 구축에 기여하고자 함,상기 발행목적에 부합되는 내용만을 게재함,,전국,,,무가,회원 및 건강정보를 필요로 하는 지역 주민,,오은아,"경기 양주시 옥정서로 217, 501호 502호 (옥정동)",,단건,2024-05-27,2024-05-21
24550,라00039,포커스21,해운대,등록,잡지,월간,지방자치,법인,부·울·경 지역의 시사 종합 월간지로 부·울·경 지역의 이슈 및 포커스 인물 등을 중점으로 독자들에게 희망의 메시지를 전달,"A4형(타블로이드 1/2 규격), 가로 21cm*세로 29.5cm, 컬러 발행",,지역,,,유가,,,주식회사 한국미디어언론연합,"부산 해운대구 마린시티2로 38, C1동 501호 (우동, 해운대아이파크)",(주)세영애드인,단건,2024-05-27,2024-05-22
24549,아55439,K-STORY DAO,서울,등록,인터넷신문,인터넷신문,총류,법인,"누구나, 언제 어디서든 접할 수 있는 K-POP 컨텐츠 개발과 소개, 그리고 지금까지 주식회사 케이팝서포터즈의 활동 내역을 홍보하기 위해 발행하였습니다.","최신 K-POP, K-뷰티, K-POP패션, E-BOOK, 그 외 K-POP 관련 사실 및 오피니언",,전국,,,무가,,,주식회사 케이팝서포터즈,"서울 강남구 영동대로85길 20-3, 3층 (대치동)",,단건,2024-05-24,2024-05-24
24548,아55445,가짜뉴스퇴치국민운동본부,서울,등록,인터넷신문,인터넷신문,총류,법인,"가짜뉴스 퇴치를 통해 신뢰받을 수 있는 사회를 만들고 대중의 미디어 리터러시 강화, 타 미디어 기관과의 협력을 통한 투명하고 정직한 뉴스 보도를 하기 위함",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,재단법인 가짜뉴스퇴치국민운동본부,"서울 구로구 디지털로33길 11 (구로동, 에이스테크노타워8차) 305호",,단건,2024-05-24,2024-05-24
24547,아55444,공정경제,서울,등록,인터넷신문,인터넷신문,신문,단체,"공정 관점에서의 국내외 이슈를 보도함으로써 시민의 알 권리 보장과 사회의 공정성, 투명성, 합리성 강화에 기여","상기 발행 목적에 부합하는 경제, 사회, 정치 등 다양한 분야 내용을 게재",,전국,,,무가,시민,,공공사업지원협회,"서울 서초구 서초중앙로 69, 406호 (서초동, 르네상스빌딩)",,단건,2024-05-24,2024-05-24
24546,아55441,굿모닝서울,서울,등록,인터넷신문,인터넷신문,총류,법인,국방·외교·사회·자연·문화·건강·AI 등에 관한 보도 및 여론·정보 등을 전파하기 위함,상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,주식회사 스포츠서울,"서울 도봉구 시루봉로 2, 1층 103호 (쌍문동, 쌍문그린스테이트빌딩)",,단건,2024-05-24,2024-05-24
24545,아54071,기후경제타임즈,경기,등록,인터넷신문,인터넷신문,총류,개인,"기후 위기가 심화되는 시대, 기후위기 극복에 대해 초점을 맞춘 언론으로서 역할",상기 발행목적 내용으로 함,,전국,,,무가,,,김민우(기후경제타임즈),"경기 부천시 원미구 장말로279번길 15 (심곡동, 심곡동 어린이집), 2층",,단건,2024-05-24,2024-05-21
24544,아54075,뉴스넘버투,경기,등록,인터넷신문,인터넷신문,총류,법인,"영어로 된 국내외 사회, 문화, 정치, 경제 등의 소식을 국민에게 신속히 전함","국내외 사회, 문화, 정치, 경제 등의 소식",,전국,,,무가,,,주식회사 컬컴범계점(컬컴부천점),"경기 부천시 원미구 석천로178번길 23 (중동, 케이원 빌딩), 3층 컬컴부천점",,단건,2024-05-24,2024-05-22
24543,아55440,뉴스핫라인,서울,등록,인터넷신문,인터넷신문,총류,개인,"정치, 경제, 사회, 문화, IT, 국제 등 관한 보도, 논평, 정보 전파",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,박민지(뉴스핫라인),"서울 노원구 덕릉로 820, 103호 (상계동)",,단건,2024-05-24,2024-05-24
